,Unnamed: 0,Wikipedia_movie_ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,Directors,Authors,Actors_rotten,production_company,Critics_rotten_rating,Critic_rotten_count,Audience_rotten_rating,Audience_rotten_count
185,6622,77674,/m/0kbfw,Watch on the Rhine,1943,,114.0,['English Language'],['United States of America'],"['Thriller', 'War film', 'Drama', 'Black-and-white', 'Spy']",Herman Shumlin,"Dashiell Hammett, Lillian Hellman","Paul Lukas, Bette Davis, Geraldine Fitzgerald, Lucile Watson, Beulah Bondi, George Coulouris, Donald Woods, Henry Daniell, Donald Buka, Eric Roberts (II), Janis Wilson, Helmut Dantine, Mary Young, Kurt Katch, Erwin Kalser, Rudolph Anders, Clyde Fillmore, Frank Wilson, Frank C. Wilson, Clarence Muse, Violet McDowell, Joseph E. Bernard, Jack Mower, Creighton Hale, William Washington, Elvira Curci, Anthony Caruso, Michele Fehr, Jean De Briac, Leah Baird, Howard Hickman, Frank Reicher, Robert C. Fischer, Walter O. Stahl, Glen Cavender, Joseph DeVillard, Wedgewood Nowell, Hans Tanzler, Herma Cordova, Gretl Dupont, Bill Washington, Alan Hale Jr., Garry Owen, Hans Von Morhart",Warner Home Video,80.0,5.0,63.0,600.0
186,6669,1344253,/m/04vcfx,Flubber,1997,177977226.0,93.0,['English Language'],['United States of America'],"['Science Fiction', 'Fantasy', 'Comedy', 'Family Film', 'Fantasy Comedy', 'Slapstick']",Les Mayfield,"Bill Walsh, John Hughes","Robin Williams, Marcia Gay Harden, Christopher McDonald, Raymond J. Barry, Clancy Brown, Ted Levine, Wil Wheaton, Edie McClurg, Scott Michael Campbell, Jodi Benson, Leslie Stefanson, Scott Martin Gershin, Malcolm Brownson, Julie Morrison, Benjamin Brock, Dakin Matthews, Adryenn Ashley, Zack Zeigler, Samuel Lloyd, Bob Sarlatte, Bob Greene, Tom Barlow",Disney,24.0,34.0,33.0,623682.0
187,6685,4367482,/m/0bzhbl,Sextette,1978,,91.0,['English Language'],['United States of America'],"['Cult', 'Musical', 'Comedy of Errors', 'Comedy']",Ken Hughes,"Herbert Baker, Harbert Baker","Rona Barrett, Mae West, Timothy Dalton, Regis Philbin, Dom DeLuise, Tony Curtis, Ringo Starr, George Hamilton, Alice Cooper, Allison Keith, Rona Barrett, Van McCoy, Keith Moon, Regis Philbin, Walter Pidgeon, Harry Weiss, George Raft, Gil Stratton, June Fairchild, George E. Carey, Ed Beheler, Derek Murcott, William Beckley, Jay B. Larson, Richard Peel, Ian Abercrombie, James Bacon, Peter Alexander, Jill Freeman, Jason Cooper, Calvin Bartlett, Reg Lewis, Jim Morris, Roger Callard",Lionsgate,18.0,11.0,26.0,124.0
188,6693,3038038,/m/08md65,A Nightmare on Elm Street 4: The Dream Master,1988,49369899.0,93.0,['English Language'],['United States of America'],"['Horror', 'Slasher', 'Teen', 'Supernatural']",Renny Harlin,"Brian Helgeland, Jim Wheat, Ken Wheat, William Kotzwinkle, Scott Pierce","Robert Englund, Lisa Wilcox, Danny Hassel, Rodney Eastman, Andras Jones, Tuesday Knight, Toy Newkirk, Ken Sagoes, Brooke Theiss, Brooke Bundy, Jeff Levine, Nicholas Mele, Hope Marie Carlton, Robert Shaye, Kristen Clayton, Linnea Quigley, Duane Davis, Richard Garrison, Joanna Lipari, Jacquelyn Masche, L.E. Moko, Mickey Yablans, John Beckman",Media Home Entertainment,53.0,30.0,43.0,246613.0
189,6731,7657211,/m/0kvd8n,The Bad Seed,1956,4100000.0,129.0,['English Language'],['United States of America'],"['Thriller', 'Mystery', 'Horror', 'Drama']",Mervyn LeRoy,John Lee Mahin,"Patty McCormack, Nancy Kelly, Eileen Heckart, Henry Jones, William Hopper, Evelyn Varden, Paul Fix, Jesse White, Gage Clarke, Joan Croydon, Frank Cady",WARNER BROTHERS PICTURES,63.0,27.0,83.0,8639.0
190,6790,168498,/m/016kc2,Starman,1984,28744356.0,115.0,['English Language'],['United States of America'],"['Science Fiction', 'Road movie', 'Fantasy', 'Romantic drama', 'Drama', 'Romance Film', 'Romantic fantasy']",John Carpenter,"Raynold Gideon, Bruce A. Evans, Gideon Ray, John Carpenter, Dean Riesner","Jeff Bridges, Karen Allen, Charles Martin Smith, Richard Jaeckel, Robert Phalen, Ralph Cosham, Tony Edwards, John Walter Davis, John Anderson, Stephen Brennan, Ted White, Dirk Blocker, M.C. Gainey, Charlie Hughes, Jennifer Shull, Sean Faro, Russ Benning, Ralph Cosham, David Wells, Anthony Grumbach, James Deeth, Alex Daniels, Carol Rosenthal, Mickey Jones, Lu Leonard, Charles Hughes, Byron Walls, Betty Bunch, Victor McLemore, Steven Brennan, Ron Colby, Pat Lee, Judith Kim, George 'Buck' Flower, Ronald Colby, Robert Stein, Kenny Call, John Carpenter, Jeff Ramsey, Dennis Burkley, Jerry Gatlin, Randy Tutton",Columbia Pictures,85.0,33.0,69.0,24663.0
191,6850,5578994,/m/0dtj7w,The Package,1989,10647219.0,108.0,['English Language'],['United States of America'],"['Thriller', 'Action/Adventure', 'Period piece', 'Drama', 'Suspense', 'Political thriller', 'Action', 'Political drama']",Andrew Davis,John Bishop,"Gene Hackman, Joanna Cassidy, Tommy Lee Jones, John Heard, Kevin Crowley, Anatoly Davydov, Chelcie Ross, Dennis Franz, Pam Grier, Ron Dean, Nathan Davis, Joe V. Greco, Ike Pappas, Marco St. John, Reni Santoni, Thalmus Rasulala, Joe Guzaldo, Wilhelm von Homburg, Allen Hamilton, Greg Noonan, Katherine Lynch, Mary Seibel, Joe D. Lauck, Dick Cusak, Boris Leskin, Danny Goldring, Gregory Alan Williams, Jack Kandel, Nick Kusenko, Tina Gloschenko, Henry Godinez, Kathryn Joosten, Oksana Fedunszyn, Ralph Foody, Mike Bacarella, Steve Barbo, Eddie B. Smith, Greg Goossen, Dennis Cockrum, Dick Cusack, Ivory Ocean, Metta Davis, Nancy Baird, Otto von Wernherr, Hilda McLean, John W. Hardy, Leon Samoilovich, John D'Amico, Oksana Fedunyszyn, Ray Allen, Phillip Prerost, Jack Gold, Eddie Bo Smith Jr., Ray Starr, Michael James, Dr. Christine Cassel, Michael Skewes, Johnny Lee Davenport, Juan Ramírez, Miguel Nino, Mik Scriba, Michael Tomlinson, Cody Glenn, Harry Lennix, Carlos Sanz, Dianne Timmerman, Charles Mueller, William Musyka, Gary Berkovich, Harry Teinowitz, Don James, Gary Goldman, Will Zahrn, Michael Gaylord James, Gene Barge, Walter Markley, Dmitri Polytnsev, Lana Berkovich, Billy Bosco, Chad Smith",Orion Home Video,60.0,15.0,44.0,4256.0
192,6897,2208258,/m/06w0bz,Phase IV,1974,,86.0,['English Language'],['United States of America'],"['Natural horror films', 'Science Fiction', 'Horror']",Saul Bass,Mayo Simon,"Nigel Davenport, Lynne Frederick, Michael Murphy, Alan Gifford, Helen Horton, Robert Henderson",Paramount Pictures,50.0,18.0,55.0,1218.0
193,6903,8863185,/m/027mglq,The Actress,1953,,90.0,['English Language'],['United States of America'],"['Biographical film', 'Drama', 'Comedy']",George Cukor,Ruth Gordon,"Jean Simmons, Spencer Tracy, Teresa Wright, Anthony Perkins, Ian Wolfe, Kay Williams, Mary Wickes, Norma Jean Nilsson, Dawn Bender, Jackie Coogan",Metro-Goldwyn-Mayer Distributing Corp.,60.0,5.0,45.0,107.0
194,6962,75255,/m/0j_sn,The Naked Spur,1953,2250000.0,91.0,['English Language'],['United States of America'],"['Action/Adventure', 'Western', 'Action']",Anthony Mann,"Sam Rolfe, Harold Jack Bloom","James Stewart, Robert Ryan, Millard Mitchell, Ralph Meeker, Janet Leigh",MGM Home Entertainment,100.0,13.0,75.0,2341.0
195,6971,9782726,/m/02ps1cl,The Octagon,1980,18971000.0,103.0,['English Language'],['United States of America'],"['Thriller', 'Action/Adventure', 'Action', 'Martial Arts Film', 'Action Thrillers']",Eric Karson,Leigh Chapman,"Chuck Norris, Karen Carlson, Lee Van Cleef, Art Hindle, Richard Norton, Carol Bagdasarian, Kim Lankford, Tadashi Yamashita, Kurt Grayson, Yuki Shimoda, Larry D. Mann, John Fujioka, Jack Carter, John Barrett, Aaron Norris, Brian Tochi, Gerald Okamura, Carlos Romano, Don Pike, Elizabeth Carder, Ken Gibbel, Redmond Gleeson, Ted Duncan, Kevin Brando, Jo McDonnell, Enrique Lucero, Alan Marcus, Ernie Hudson, Brian Libby, Crane Jackson",Media Home Entertainment,33.0,6.0,31.0,5366.0
196,6975,29296535,/m/0dsd7gy,Soldiers of Fortune,2012,1572040.0,94.0,['English Language'],['United States of America'],"['Action', 'Adventure']","Maxim Korostyshevsky, Maksim Korostyshevsky","Alexandre Coscas, Robert Crombie, Joe Kelbley","Christian Slater, Sean Bean, Ving Rhames, Dominic Monaghan, James Cromwell, Colm Meaney, Charlie Bewley, Gennadiy Vengerov, Freddy Rodriguez, Ryan Donowho, Sarah Ann Schultz, Oksana Korostyshevskaya",Metro-Goldwyn-Mayer Studios Inc.,14.0,7.0,9.0,2958.0
197,7026,24731602,/m/080jn6w,Extraordinary Measures,2010,15134168.0,106.0,['English Language'],['United States of America'],"['Drama', 'Film adaptation']",Tom Vaughan,Robert Nelson Jacobs,"Harrison Ford, Brendan Fraser, Keri Russell, Meredith Droeger, Sam M. Hall, Diego Velázquez, Jared Harris, Patrick Bauchau, Alan Ruck, David Clennon, Dee Wallace, Courtney B. Vance, Ayanna Berkshire, P.J. Byrne, Andrea White, G.J. Echternkamp, Vu Pham, Derek Webster, Jana Lee Hamblin, Shelly Lipkin, Chris Harder, Eric Derovanessian, Patricia Ferguson, Jeanette McMahon, Claire Brennan, Tra'Renee Chambers, Quigley Provost-Landrum, Kimberly Howard, Lily Mariye, Sherilyn Lawson, Eric Martin Reid, Sharonlee McLean, Bryce Flint-Somerville, Jeanine Jackson, Gavin Bristol, Robert Blanche, Olga Sanchez, Chrisse Roccaro, Michael Shamberg, John Crowley, Christopher Desmond Williams, Melanie Sanders",CBS Films,29.0,143.0,53.0,74344.0
198,7049,61525,/m/0gnrt,Dead End,1937,,93.0,['English Language'],['United States of America'],"['Crime Fiction', 'Gangster Film', 'Drama', 'Black-and-white', 'Film adaptation']",William Wyler,Lillian Hellman,"Sylvia Sidney, Joel McCrea, Humphrey Bogart, Wendy Barrie, Claire Trevor, Billy Halop, Marjorie Main, Huntz Hall, Charles Peck, Allen Jenkins, Bobby Jordan, Leo Gorcey, Gabriel Dell, Bernard Punsly, Bernard Punsley, Minor Watson, James Burke, Ward Bond, Elisabeth Risdon, Esther Dale, George Humbert, Marcelle Corday, Dead End Kids, Elizabeth Risdon, Jerry Cooper, Kath Ann Lujan, Bud Geary, Gertrude Valerie, Tom Ricketts, Mickey Martin, Wesley Girard, Mona Monet, Al Bridge, Don 'Red' Barry, Earl Askam, Gilbert Clayton, Frank Shields, Lucille Browne, Robert E. Homans, Bill Pagwell, Charlotte Treadway, Maude Lambert, Esther Howard, Sidney Kibrick, Larry Harris, Norman Salling, Charles Halton, Thomas E. Jackson, Alan Bridge, Wade Boteler",MGM,91.0,11.0,76.0,2021.0
199,7053,19534959,/m/04n1drd,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",2008,,103.0,['English Language'],"['United States of America', 'Australia']","['World cinema', 'Documentary']",Mark Hartley,Mark Hartley,"Phil Adams, Phillip Adams, Russell Boyd, Jamie Lee Curtis, Cassandra Delaney, Everett De Roche, Richard Franklin, Rebecca Gilling, Antony I. Ginnane, Deborah Gray, Gregory Harrison, Dennis Hopper, Harry Humphries, Stacy Keach, Ted Kotcheff, John D. Lamond, George Lazenby, Vincent Monton, Philippe Mora, Judy Morris, Russell Mulcahy, Grant Page, Steve Railsback, Cheryl Rixon Davis, John Seale, Lynda Stoner, Quentin Tarantino, Jeremy Thomas, Jack Thompson, Sigrid Thornton, Brian Trenchard-Smith, Roger Ward, Simon Wincer, Susannah York",Magnolia Pictures/Magnet Releasing,95.0,66.0,80.0,2384.0
200,7065,18943833,/m/01r97z,Striptease,1996,113309743.0,115.0,['English Language'],['United States of America'],"['Crime Fiction', 'Sex comedy', 'Erotica', 'Satire', 'Drama', 'Comedy', 'Film adaptation', 'Crime Thriller']",Andrew Bergman,Andrew Bergman,"Demi Moore, Armand Assante, Ving Rhames, Robert Patrick, Burt Reynolds, Paul Guilfoyle (II), Jerry Grayson, Rumer Willis, Robert Stanton, William Hill, Stuart Pankin, Dina Spybey, Pasean Wilson, Pandora Peaks, Barbara Alyn Woods, Kimberly Flynn, Rena Riffel, Siobhan Fallon Hogan, Gary Basaraba, Matthew Baron, Gianni Russo, José Zúñiga, Anthony K. Jones, Eduardo Yanez, Antoni Corone, Frances Fisher, Teddy Bergman, Louis Seeger Crume, Aymee Garcia, Deborah Magdalena, Keone Young, Johnny Cocktails, Anthony Giaimo, Jerry Pacific, Anna Lobell, Diane Adams, Chad Ayers, April Sharpe, Maria Gennaro, Keith Blaney, Marc Chaykin, Edward Goldstein, Christine Bauerle, Yoshi Obata, Tony Toyoda, Scott Oughterson, Ted Niarchos Jr., Darreck Crane, Marco Assante",Sony Pictures Home Entertainment,11.0,70.0,24.0,53986.0
201,7076,5301628,/m/0ddf9m,Eye of the Needle,1981,,111.0,['English Language'],"['United States of America', 'United Kingdom']","['Thriller', 'Crime Fiction', 'War film', 'Period piece', 'Drama', 'Suspense', 'Film adaptation', 'Romantic drama', 'Romance Film', 'Spy']",Richard Marquand,Stanley Mann,"Donald Sutherland, Kate Nelligan, Ian Bannen, George Belbin, Stephen MacKenna, Philip Martin Brown, Christopher Cazenove, Faith Brook, Barbara Graley, Arthur Lovegrove, Colin Rix, Barbara Ewing, Chris Jenkinson, William Merrow, Patrick Connor, David Hayman, George Lee, Rupert Frazer, Jonathan Haley, Alex McCrindle, John Bennett, Alan Surtees, Bill Fraser, Sam Kydd, John Paul, Stephen Phillips, Richard Graydon, Michael Mellinger, Don Fellows, Stewart Harwood, Rik Mayall, Rory Edwards, Ellis Dale, Michael Joseph, John Rees, John Grieve, Bruce White, David Ashton, Bill Nighy",MGM Home Entertainment,82.0,17.0,74.0,4034.0
202,7100,897481,/m/03mvlr,Just One of the Guys,1985,11528900.0,100.0,['English Language'],['United States of America'],"['Romantic comedy', 'Sports', 'Coming of age', 'Comedy', 'Romance Film', 'Comedy of Errors', 'Teen']",Lisa Gottlieb,"Jeff Franklin, Dennis Feldman","Joyce Hyser, Billy Jacoby, Billy Jayne, William Zabka, Toni Hudson, Clayton Rohner, Sherilyn Fenn, Leigh McCloskey, Deborah Goodrich, Arye Gross, Robert Fieldsteel, Stuart Charno, John Apicella, Kenneth Tigar, Steven Basil, Don Blanton, Annette Benson, Ramon Chavez, Jack Williams, Emily Ragsdale, Mickey Guinn, Stacy Blythe, Anthony Galde, Frank Sprague, Linda Kelly, Kim Norwitz, Kim Studer, Joseph Finsterwald, Katy Boyet, Troy Clegg, Randy Mooers, Brian Melrose, Katy Boyer, Jay W. Davis, Tony Brock, Jay Davis (II), John Coury, James Michael Zavala",Sony Pictures Home Entertainment,45.0,11.0,65.0,9019.0
203,7110,1377427,/m/04xx9s,Coach Carter,2005,76669806.0,136.0,['English Language'],"['United States of America', 'Germany']","['Sports', 'Drama', 'Biography', 'Coming of age', 'Docudrama']",Thomas Carter,"Mark Schwahn, John Gatins","Samuel L. Jackson, Rob Brown (VI), Robert Ri'chard, Rick Gonzalez, Nana Gbewonyo, Antwon Tanner, Channing Tatum, Ashanti, Texas Battle, Denise Dowse, Debbi Morgan, Adrienne Bailon, Mel Winkler, Vincent Laresca, Dana Davis, Sidney Faison, Octavia Spencer",Paramount Pictures,64.0,150.0,85.0,406740.0
204,7114,20909648,/m/05b2kr3,The Carpetbaggers,1964,,150.0,['English Language'],['United States of America'],"['Romance Film', 'Drama', 'Film à clef']",Edward Dmytryk,John Michael Hayes,"George Peppard, Carroll Baker, Bob Cummings, Alan Ladd, Martha Hyer, Elizabeth Ashley, Lew Ayres, Martin Balsam, Ralph Taeger, Archie Moore, Leif Erickson, Arthur Franz, Tom Tully, Audrey Totter, Anthony Warde, Charles Lane, Tom Lowell, John Conte, Vaughan Taylor, Francesca Bellini, Gladys Holland, Lynn Borden, Victoria Jean, Frankie Darro, Lisa Seagram, Don Diamond, Ann Doran, Don 'Red' Barry, Peter Duryea, Tony Regan, Joe Turkel",Paramount Pictures,33.0,9.0,64.0,1016.0
205,7138,4751115,/m/0cldkk,Entropy,1999,,104.0,['English Language'],['United States of America'],"['Drama', 'Comedy']",Phil Joanou,Phil Joanou,"Stephen Dorff, Judith Godrèche, Kelly Macdonald, Lauren Holly, Hector Elizondo, Jon Tenney, Frank Vincent, Paul Guilfoyle (II), Bono, Adam Clayton, Larry Mullen Jr., The Edge, Bray Poor, Kathryn Erbe, Shannon Fielder, Zach Tyler, Jim Gaffigan, Dominic Hawksley, Drena De Niro, Craig Emmanuel, Brad Epstein, Richard B. Livingston, U2",Screen Media,40.0,5.0,75.0,886.0
206,7139,5813191,/m/0f6mw2,The January Man,1989,4611062.0,97.0,['English Language'],['United States of America'],"['Thriller', 'Crime Fiction', 'Comedy Thriller', 'Mystery', 'Comedy', 'Crime Thriller', 'Action']",Pat O'Connor,John Patrick Shanley,"Kevin Kline, Rod Steiger, Susan Sarandon, Harvey Keitel, Mary Elizabeth Mastrantonio, Danny Aiello, Alan Rickman, Faye Grant, Kenneth Welsh, Jayne Haynes, Brian Tarantina, Bruce MacVittie, Bill Cobbs, Greg Walker, Tandy Cronyn, Gerard Parkes, Errol Slue, Kenneth Welsh, William Christian, Ann Talman, Bill Cwikowski, Billie Neal, Malachy McCourt, Paul Geier, Lázaro Pérez, Katherine E. Miller, Elizabeth Karr, Jerry Rector, Jane Sanders, Colin Mochrie, James Ryan, Grant Shaud, Warren Davis, Joan Heney, Maida Rogerson, James Mainprize, J.B. Waters, Majda Rogerson, Richard Johnson",Twentieth Century Fox Home Entertainment,25.0,16.0,28.0,3660.0
207,7147,4681364,/m/0ch0qx,Street Smart,1987,1119112.0,97.0,['English Language'],['United States of America'],"['Thriller', 'Crime Fiction', 'Drama', 'Crime Drama']",Jerry Schatzberg,"Dave Freeman, Andrew Birkin","Christopher Reeve, Morgan Freeman, Kathy Baker, Andre Gregory, Mimi Rogers, Jay Patterson, Anna Maria Horsford, Frederick Rolf, Erik King, Michael J. Reynolds, Shari Hilton, Donna Bailey, Ed Van Nuys, Joe Barrientos, Daniel Nalrach, Rick Aviles, Walter Allen Bennet Jr., Les Carlson, Bill Torre, Richard Mullaly, Marie Barrientos, Eddie Earl Hatch, Grace Garland, Max Montor, Wally Martin, Robert Morelli, Rick van Nutter, Shawn Laurence, Kelly Ricard, David Glen, Ulla Moreland, Dorian Joe Clark, Francisco Gonzales, Lynne Adams, Claudette Roach, Lois Dellar, Chui-Lin Mark, Francesco Golisano, Manon Vallee, Carole Zelles, Danny Brainin, Ernest Deveaux, Steve Michaels, Margarita Stocker, Eve Napier, Ruth Dahan, Richard Mullally, Vera Miller, Nadia Rona, Daniel Nalbach, Terry Haig, Donald Lamoureux, Carol Ann Francis, Ann Pearl Gary, Emmanuelle LaSalle",Media Home Entertainment,64.0,14.0,44.0,1343.0
208,7196,12000999,/m/02vlj62,The Brave One,2007,69787663.0,122.0,['English Language'],"['United States of America', 'Australia']","['Thriller', 'Crime Fiction', 'Action', 'Drama', 'Crime Thriller']",Neil Jordan,"Cynthia Mort, Roderick Taylor, Bruce A. Taylor, Neil Jordan","Terence DaShon Howard, Jodie Foster, Terrence Howard, Nicky Katt, Naveen Andrews, Mary Steenburgen, Jane Adams, Gordon MacDonald, Blake Foster, Ene Oloja, Luis Da Silva Jr., Blaze Foster, Rafael Sardina, Zoë Kravitz, John Magaro, Victor Colicchio, Jermel Howard, Julia Garro, James Biberi, Brian Delate, Lenny Venito, Carmen Ejogo, Dana Eskelson, Angel Sing, Yolande Bavan, Ivo Velon, Tina Sloan, Jaime Tirelli, Larry Fessenden, An Nguyen, Brian Tarantina, Nguyen Anh Hoa, Michael Anthony Williams, Jesús Ruiz, Jemel Howard, Dennis L.A. White, Hope Adams, Joseph Melendez, Ted Neustadt, Brett Berg, Dr. Jeffery Manko, Mick Cunningham, Lisa Joyce, Tom Greer, David Naizir, Robert Michael McClure, Tashya Valdevit, Lai-Si Fernandez, Moises Acevedo, Jack Caruso, Jim Taylor McNickle, Rosanne C. Lucarelli, Leif Riddell, DeShaun Stallworth, Michael J. Burg, Creighton James, Clayton Dean Smith, Barbara Gayle, Anna Margaret Hollyman, Lily Mercer, Musto Pelinkovicci, Dean Meminger, Cheryl Wills, Benjamin Wallfisch",Warner Bros. Pictures,43.0,185.0,64.0,274408.0
209,7262,779536,/m/03bq6g,Fat Man and Little Boy,1989,3563162.0,126.0,['English Language'],['United States of America'],"['Period piece', 'Drama', 'War film']",Roland Joffé,"Bruce Robinson, Roland Joffé","Paul Newman, Dwight Schultz, Bonnie Bedelia, John Cusack, Laura Dern, John C. McGinley, Natasha Richardson, Ron Vawter, Michael Brockman, Del Close, John Considine, Alan Corduner, Joseph D'Angerio, Walter Edmiston, Jon De Vries, James Eckhouse, Todd Field, Nancy Foy, Mary Pat Gleason, Clark Gregg, Peter Halasz, Gerald Hiken, Stan Jones, Arthur Holden, Ed Lauter, Donald Mackechnie, Madison Mason, Christopher Pieczynski, Don Pugsley, Logan Ramsey, Fred Dalton Thompson, Jim True-Frost, Barry Yourgrau, Steven Baigelman, Frank Benettieri Jr., David Brainard, Roger Cubicciotti, Franco Cutietta, Robert Peter Gale, David C. Parnes, Allen Poirson, David Politzer, Bill Rubenstein, Ken Strausbaugh, Walter Sullivan, Brian Wandell, John Williams (II), Walker Edmiston, Matthew Faison, Stanley Jones, Alan Oppenheimer, Ron Frazier, Wesley Harrison, Brent Harrison, Marek Alboszta, Tom McFarlane",Paramount Home Video,47.0,19.0,45.0,3503.0
210,7276,1792785,/m/05xdrc,Fire Birds,1990,14760451.0,85.0,['English Language'],['United States of America'],"['Crime Fiction', 'Action/Adventure', 'Action', 'War film']",David Green,"Paul F. Edwards, Nick Thiel, Dale Dye, John K. Swensson","Nicolas Cage, Tommy Lee Jones, Sean Young, Bryan Kestner, Dale Dye, Mary Ellen Trainor, J.A. Preston, Peter Onorati, Mike Fenton, Charles Lanyer, Illana Diamant, Marshall R. Teague, Cylk Cozart, Charles Kahlenberg, Valorie Massalas, Judy Taylor, Gregory Vahanian, Robert Lujan, Scott Williamson, Mickey Yablans, Bert Rhine, Peter Michaels, Richard Soto, Samuel Hernandez, Kristin Wynn, Nicole Kristin Barnes, Phillip Troy Linger, Harrison Le Duke, Garth Le Master, Judson Spence",Touchstone Pictures,10.0,21.0,36.0,6840.0
211,7292,288360,/m/01qbg5,Gia,1998,,120.0,['English Language'],['United States of America'],"['LGBT', 'Erotica', 'Television movie', 'Period piece', 'Drama', 'Biopic [feature]', 'Romance Film', 'Biographical film']",Michael Cristofer,"Michael Cristofer, Jay McInerney","Angelina Jolie, Elizabeth Mitchell, Eric Michael Cole, Kylie Travis, Louis Giambalvo, John Considine, Scott Cohen, Edmond Genest, Mercedes Ruehl, Faye Dunaway, Nick  Spano, Alexis Smart, Phillip Simon, John-Clay Scott, Antony Sandoval, Paul Sandman, Holly Sampson, Michael E. Rodgers, Joan Pringle, Lisa Stothard, Adina Porter, Sam Pancake, Tricia O'Neil, Norman Merrill, Allison Mackie, Shelby Leverington, Drinda La Lumia, Steve Carson, Mila Kunis, Edmund Genest, Michelle Jonas, Tim Hutchinson, Meleney Humphrey, Judy Gillett, Scott Green, Cee Cee Michaela, Johnny Green, Judy Gillet, Scott Genkinger, Guido Foehrweisser, Vylette Jezel Fagerholm, Steve Larson, Alexander Enberg, Brian Donovan, Julio Dolce Vita, Lombardo Boyar, Rick Batalla, Joe Basile, Holly Baker, Michael Rodgers, Anthony Sandoval, Jason Stuart, Samantha Torres, Nick Toth, Jennie Vaughn, Jullian Dulce Vida, Torsten Voges, James Haven Voight, Lynn Wanlass, Audrey Wasilewski, Christian Wienker, Chuck Zito",HBO Video,92.0,13.0,82.0,53588.0
212,7395,403016,/m/0242jm,Pinky,1949,,102.0,['English Language'],['United States of America'],['Drama'],Elia Kazan,"Dudley Nichols, Philip Dunne","Jeanne Crain, Ethel Waters, William Lundigan, Ethel Barrymore, Basil Ruysdael, Kenny Washington, Nina Mae McKinney, Griff Barnett, Frederick O'Neal, Evelyn Varden, Raymond Greenleaf, Dan Riss, Arthur Hunnicutt, Bert Conway, Harry Tenbrook, Robert Osterloh, Jean Innes, Jean Inness, Shelby Bacon, Everett Glass, Renee Beard, Tonya Overstreet, Juanita Moore, William Hansen",20th Century Fox Film Corporation,54.0,13.0,70.0,1048.0
213,7420,4926508,/m/0cvj1t,Vengeance Valley,1951,1800000.0,83.0,['English Language'],['United States of America'],"['Action/Adventure', 'Western']",Richard Thorpe,Irving Ravetch,"Burt Lancaster, Joanne Dru, Sally Forrest, John Ireland, Carleton Carpenter, Ray Collins, Ted de Corsia, Robert Walker Jr., Hugh O'Brian, Will Wright, Grace Mills, Jim Hayward, James Harrison, Stanley Andrews, Glenn Strange, Paul E. Burns, Tom Fadden, Margaret Bert, Harvey B. Dunn, Robert Griffin, Monte Montague, John R. McKee, Al Ferguson, Roy Butler, Norman Leavitt, Dan White, Bob Wilke, Louis A. Nicoletti",MGM,100.0,5.0,18.0,915.0
214,7448,8284794,/m/026z09s,China Seas,1935,,87.0,['English Language'],['United States of America'],"['Adventure', 'Black-and-white', 'Action/Adventure', 'Drama', 'Romance Film', 'Action']",Tay Garnett,"Jules Furthman, James K. McGuinness","Clark Gable, Jean Harlow, Wallace Beery, Rosalind Russell, Lewis Stone, Dudley Digges, C. Aubrey Smith, Robert Benchley, William Henry, Live Demaigret, Lillian Bond, Lilian Bond, Edward S. Brophy, Soo Yong, Carol Ann Beery, Akim Tamiroff, Ivan Lebedeff, Hattie McDaniel, Donald Meek, Emily Fitzroy, Pat Flaherty, Forrester Harvey, Tom Gubbins, Charles Irwin, Willie Fung, Ferdinand Munier, Chester Gan, John Ince",MGM,80.0,5.0,72.0,585.0
215,7511,61160,/m/0glkf,The Barretts of Wimpole Street,1934,1258000.0,110.0,['English Language'],['United States of America'],"['Romance Film', 'Drama', 'Biographical film', 'Black-and-white']",Sidney Franklin,"Ernest Vajda, Claudine West, Donald Ogden Stewart","Norma Shearer, Fredric March, Charles Laughton, Ian Wolfe, Maureen O'Sullivan, Katherine Alexander, Una O'Connor, Marion Clayton, Ralph Forbes, Vernon P. Downing, Neville Clarke, Neville Clark, Matt Smith, Matthew Smith, Robert Carleton, Alan Conrad, Peter Hobbes, Ferdinand Munier, Leo G Carroll, Margaret Seddon, George Kirby, Winter Hall, Lowden Adams, Robert Bolder, Leo Carrillo",MGM,78.0,9.0,69.0,335.0
