,Budget,Production Companies,ReleaseYear,Title,Director
5937,0,"['Rizzoli Film', 'Les Films de la Boétie']",1969,This Man Must Die,Claude Chabrol
5938,0,['Twentieth Century Fox Film Corporation'],1960,Sink the Bismarck!,Lewis Gilbert
5939,5000000,['Twentieth Century Fox Film Corporation'],1966,The Blue Max,John Guillermin
5940,0,['Twentieth Century Fox Film Corporation'],1951,The Desert Fox: The Story of Rommel,Henry Hathaway
5941,0,['Hisa-Film'],1962,The Trial,Orson Welles
5942,0,"['James Productions', 'Hill-Hecht-Lancaster Productions']",1960,The Unforgiven,John Huston
5943,0,['Twentieth Century Fox Film Corporation'],1969,The Undefeated,Andrew V. McLaglen
5944,0,[],1998,Divine Trash,Steve Yeager
5945,0,"['Paramount Pictures', 'Nickelodeon Movies']",1997,Good Burger,Brian Robbins
5946,0,"['Megalovision', 'Whaley-Malin Productions']",1978,Jubilee,Derek Jarman
5947,0,"['Channel Four Films', 'Mirabai Films']",1991,Mississippi Masala,Mira Nair
5948,0,['Majestic Films'],1947,Jenny Lamour,Henri-Georges Clouzot
5949,0,"['Propaganda Films', 'Hollywood Pictures', 'ISIS', 'Mansfield Pictures', 'Sandollar']",1992,A Stranger Among Us,Sidney Lumet
5950,0,"['Batjac Productions', 'Warner Bros.']",1973,Cahill U.S. Marshal,Andrew V. McLaglen
5951,6000000,"['Batjac Productions', 'Warner Bros.']",1970,Chisum,Andrew V. McLaglen
5952,0,"['The Rank Organisation', 'Enigma Productions', 'National Film Finance Corporation (NFFC)']",1986,Defense of the Realm,David Drury
5953,0,[],1989,Eat a Bowl of Tea,Wayne Wang
5954,0,"['RKO Pictures', 'Edward R. Pressman Film', 'Showtime/The Movie Channel', 'Geoff Reeve Enterprises']",1986,Half Moon Street,Bob Swaim
5955,0,"['UGC Images', 'Stéphan Films', '3 emme cinematografica', 'DaZu Film']",1997,The Truce,Francesco Rosi
5956,0,"['Imagine Entertainment', 'Universal Pictures']",1990,Opportunity Knocks,Donald Petrie
5957,22000000,"['Palace Pictures', 'Metro-Goldwyn-Mayer (MGM)']",1991,Shattered,Wolfgang Petersen
5958,0,['Twentieth Century Fox Film Corporation'],1943,The Song of Bernadette,Henry King
5959,0,"['First Artists', 'National General Pictures']",1972,The Life and Times of Judge Roy Bean,John Huston
5960,0,[],1990,The Spirit of '76,Lucas Reiner
5961,0,"['Universal Pictures', 'Ross Hunter Productions Inc.']",1967,Thoroughly Modern Millie,George Roy Hill
5962,0,"['Touchstone Pictures', 'Silver Screen Partners IV']",1990,Where the Heart Is,John Boorman
5963,19000000,['New Line Cinema'],2003,Dumb and Dumberer: When Harry Met Lloyd,Troy Miller
5964,12000000,['19 Entertainment'],2003,From Justin to Kelly,Robert Iscove
5965,75000000,"['Columbia Pictures', 'Revolution Studios']",2003,Hollywood Homicide,Ron Shelton
5966,0,"['Australian Film Finance Corporation', 'Wildheart Films', 'Alibi Films']",2002,The Hard Word,Scott Roberts
5967,7000000,['British Broadcasting Corporation (BBC)'],2002,The Heart of Me,Thaddeus O'Sullivan
5968,0,[],2002,Jet Lag,Danièle Thompson
5969,0,['Three Springs Productions'],2003,Loco Love,Bryan Lewis
5970,0,[],2002,Manito,Eric Eason
5971,0,['Etalon film'],2002,Tycoon: A New Russian,Pavel Lungin
5972,30000000,"['Epsilon Motion Pictures', 'Franchise Pictures', 'Escape Artists', 'Reiner / Greisman Productions']",2003,Alex & Emma,Rob Reiner
5973,0,[],2002,On_Line,Jed Weintrob
5974,0,"['Columbia Pictures Corporation', 'Geoffrey-Kate Productions']",1962,Experiment in Terror,Blake Edwards
5975,0,[],1996,Éxtasis,Mariano Barroso
5976,0,"['Paramount Pictures', 'Marianne Productions', 'Transcontinental Films']",1966,Is Paris Burning?,René Clément
5977,0,"['Paramount Pictures', 'Hemdale', 'Michael Deeley-Peter Yates Films']",1971,Murphy's War,Peter Yates
5978,0,['D.W. Griffith Productions'],1921,Orphans of the Storm,D.W. Griffith
5979,0,['Hammer Film Productions'],1973,The Satanic Rites of Dracula,Alan Gibson
5980,0,"['New South Wales Film & Television Office', 'Showtime Australia', 'Australian Film Finance Corporation (AFFC)', 'Premium Movie Partnership']",1999,Strange Planet,Emma-Kate Croghan
5981,5000000,"['DNA Films', 'British Film Council']",2002,28 Days Later,Danny Boyle
5982,120000000,"['Columbia Pictures', 'Wonderland Sound and Vision', 'Tall Trees Productions', 'Flower Films (II)']",2003,Charlie's Angels: Full Throttle,McG
5983,0,['Galliano Iuso per Digital Film'],2001,Gasoline,Monica Stambrini
5984,0,[],1993,Ed and His Dead Mother,Jonathan Wacks
5985,0,"['Miss Q', ""Isn't It Romantic""]",1999,Just a Little Harmless Sex,Rick Rosenthal
5986,0,['Arenafilm'],2001,The Bank,Robert Connolly
5987,130000,"['Filmverlag der Autoren', 'Tango Film']",1974,Ali: Fear Eats the Soul,Rainer Werner Fassbinder
5988,2500000,"['Fine Line Features', 'August Entertainment', 'Mindel-Shaw Productions']",1993,"Bodies, Rest & Motion",Michael Steinberg
5989,0,"['Columbia Pictures', 'Warwick Film Productions', 'Avala Film']",1964,The Long Ships,Jack Cardiff
5990,0,"['United Artists', 'Selznick International Pictures']",1939,Made for Each Other,John Cromwell
5991,0,[],1962,Ring of Terror,Clark L. Paylow
5992,575,['Walter Wanger Productions'],1937,You Only Live Once,Fritz Lang
5993,3520000,['Twentieth Century Fox Film Corporation'],1956,Anastasia,Anatole Litvak
5994,0,"['Universal Pictures', 'Finnegan/Pinchuk Productions', 'Waterhorse Productions']",1992,The Babe,Arthur Hiller
5995,35000000,['Paramount Pictures'],1991,Flight of the Intruder,John Milius
5996,3000000,['Columbia Pictures Corporation'],1977,Fun with Dick and Jane,Ted Kotcheff
5997,0,['Metro-Goldwyn-Mayer (MGM)'],1953,Knights of the Round Table,Richard Thorpe
5998,0,"['Barwood Films', 'First Artists', 'Warner Bros.']",1979,The Main Event,Howard Zieff
5999,0,"['Universal Pictures', 'Gibraltar Productions', 'Laurel Productions']",1964,Man's Favorite Sport?,Howard Hawks
6000,0,['Universal Pictures'],1992,Mr. Baseball,Fred Schepisi
6001,151000,"['MelinaFilm', 'Lopert Pictures Corporation']",1960,Never on Sunday,Jules Dassin
6002,25000000,"['Barwood Films', 'Warner Bros.']",1987,Nuts,Martin Ritt
6003,0,"['Kurosawa Production Co.', 'Shochiku Company', 'Shôchiku Eiga']",1991,Rhapsody in August,Akira Kurosawa
6004,3005000,"[""Loew's"", 'Metro-Goldwyn-Mayer (MGM)']",1952,Scaramouche,George Sidney
6005,0,"['Warner Bros.', 'NorBud Productions', 'Norbud Films']",1970,Start the Revolution Without Me,Bud Yorkin
6006,0,[],1965,Strange Bedfellows,Melvin Frank
6007,0,['Marianne Productions'],1976,The Tenant,Roman Polanski
6008,0,[],1993,The Advocate,Leslie Megahey
6009,0,"['Barwood Films', 'First Artists']",1972,Up the Sandbox,Irvin Kershner
6010,0,"['Saticoy Productions', 'Warner Bros.']",1972,"What's Up, Doc?",Peter Bogdanovich
6011,137000000,"['Universal Pictures', 'Good Machine', 'Valhalla Motion Pictures', 'Marvel Enterprises']",2003,Hulk,Ang Lee
6012,45000000,"['Type A Films', 'Marc Platt Productions', 'Metro-Goldwyn-Mayer (MGM)']",2003,"Legally Blonde 2: Red, White & Blonde",Charles Herman-Wurmfeld
6013,200000000,"['Columbia Pictures', 'Intermedia Films', 'Warner Bros.', 'C-2 Pictures', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'Mostow/Lieberman Productions']",2003,Terminator 3: Rise of the Machines,Jonathan Mostow
6014,7800000,"['France 2 Cinéma', 'Canal Plus', 'Fidélité Productions', 'Gimages', 'FOZ', 'Headforce Ltd.']",2003,Swimming Pool,François Ozon
6015,140000000,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",2003,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski
6016,0,"['VideoFilmes', 'Wild Bunch', 'Lumière', 'Dominant 7']",2002,Madame Satã,Karim Aïnouz
6017,78000000,"['Twentieth Century Fox Film Corporation', 'JD Productions', 'International Production Company', 'Angry Films', 'Mediastream Dritte Film GmbH & Co. Beteiligungs KG']",2003,The League of Extraordinary Gentlemen,Stephen Norrington
6018,0,['CTB Film Company'],2002,The Cuckoo,Aleksandr Rogozhkin
6019,0,[],2001,The Holy Land,Eitan Gorlin
6020,0,"['Renn Productions', 'Canal+', 'Centre National de la Cinématographie (CNC)']",2002,A Housekeeper,Claude Berri
6021,0,"['Isle of Man Film Commission', 'British Broadcasting Corporation (BBC)', 'Trademark Films', 'Take 3 Partnership']",2003,I Capture the Castle,Tim Fywell
6022,0,[],2003,Northfork,Michael Polish
6023,130000000,"['Columbia Pictures Corporation', 'Don Simpson/Jerry Bruckheimer Films']",2003,Bad Boys II,Michael Bay
6024,0,"['Golden Mean', 'Focus Features', 'Radar Pictures']",2003,How to Deal,Clare Kilner
6025,40000000,"['Universal Pictures', 'StudioCanal']",2003,Johnny English,Peter Howitt
6026,0,[],2002,The Anarchist Cookbook,Jordan Susman
6027,0,"['Miramax Films', 'BBC Films', 'Celador Productions', 'Jonescompany Productions']",2002,Dirty Pretty Things,Stephen Frears
6028,0,['Fandango'],2002,The Embalmer,Matteo Garrone
6029,0,"['Mystery Clock Cinema', 'Australian Film Finance Corporation (AFFC)']",2002,Garage Days,Alex Proyas
6030,0,[],2002,On the Run,Lucas Belvaux
6031,0,[],2002,The Sea Is Watching,Kei Kumai
6032,0,[],1995,Born to Be Wild,John Gray
6033,0,"['Hughes Entertainment', 'Warner Bros.']",1991,Curly Sue,John Hughes
6034,0,"['Amblin Entertainment', 'Warner Bros.']",1994,Little Giants,Duwayne Dunham
6035,1500000,['TriStar Pictures'],1990,Loose Cannons,Bob Clark
6036,0,"['Columbia Pictures Corporation', 'Highroad Productions']",1959,The Mouse That Roared,Jack Arnold
6037,0,['Warner Bros.'],1963,Spencer's Mountain,Delmer Daves
6038,0,"['BBC Films', 'Intermedia Films']",2003,Masked and Anonymous,Larry Charles
6039,95000000,"['Paramount Pictures', 'Toho-Towa', 'Mutual Film Company', 'Lawrence Gordon Productions', 'British Broadcasting Corporation (BBC)', 'October Pictures', 'Eidos Interactive']",2003,Lara Croft: Tomb Raider - The Cradle of Life,Jan de Bont
6040,87000000,"['Universal Pictures', 'Spyglass Entertainment', 'The Kennedy/Marshall Company', 'DreamWorks Pictures', 'Touchstone Pictures']",2003,Seabiscuit,Gary Ross
6041,38000000,['Dimension Films'],2003,Spy Kids 3: Game Over,Robert Rodriguez
6042,15000000,"['Grosvenor Park Films LLP', 'Film4', 'Good Machine']",2001,Buffalo Soldiers,Gregor Jordan
6043,0,"['Laughlin Park Pictures', 'IFC Productions']",2003,Camp,Todd Graff
6044,0,"['Cattleya', 'Moonstone Entertainment', 'Hotel Productions']",2001,Hotel,Mike Figgis
6045,2750000,"['Fondo para la Producción Cinematográfica de Calidad (FOPROCINE)', 'Fondo Ibermedia', 'Consejo Nacional para la Cultura y las Artes (CONACULTA)']",2003,"Lucía, Lucía",Antonio Serrano
6046,4000000,"['Vía Digital', 'Eurimages', 'Continental Producciones', 'Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)', 'Televisión de Galicia (TVG) S.A.', 'Antena 3 Televisión', 'Sogepaq', 'Elías Querejeta Producciones Cinematográficas S.L.', 'Mediapro', 'Quo Vadis Cinéma', 'Eyescreen S.r.l.']",2002,Mondays in the Sun,Fernando León de Aranoa
6047,0,"['Code Entertainment', 'Eclipse Catering']",2003,Scorched,Gavin Grazer
6048,0,['The Mirisch Corporation'],1972,Avanti!,Billy Wilder
6049,13000000,"['Nelson Entertainment', 'Interscope Communications']",1991,Eve of Destruction,Duncan Gibbins
6050,0,"['United Artists', 'Levy-Gardner-Laven']",1976,Gator,Burt Reynolds
6051,0,"['David V. Picker Productions', 'Two Roads Productions']",1974,Juggernaut,Richard Lester
6052,0,['Kings Road Entertainment'],1991,Kickboxer 2: The Road Back,Albert Pyun
6053,3500000,"['Phalanx Productions', 'Mirisch Corporation, The', 'Claude Productions']",1964,"Kiss Me, Stupid",Billy Wilder
6054,3000000,['The Mirisch Corporation'],1961,"One, Two, Three",Billy Wilder
6055,0,['TLA Releasing'],2001,Possible Loves,Sandra Werneck
6056,10000000,"['United Artists', 'The Mirisch Production Company', 'Mirisch Films']",1970,The Private Life of Sherlock Holmes,Billy Wilder
6057,0,['Orion Pictures'],1985,Remo Williams: The Adventure Begins,Guy Hamilton
6058,0,"['Handistom Investment', 'Kings Road Entertainment', 'Kamisha Corporation']",1989,The Blood of Heroes,David Webb Peoples
6059,0,"['United Artists', 'Levy-Gardner-Laven']",1973,White Lightning,Joseph Sargent
6060,55000000,"['Universal Pictures', 'Zide-Perry Productions', 'LivePlanet', 'Loumolo & Co.']",2003,American Wedding,Jesse Dylan
6061,54000000,"['City Light Films', 'Revolution Studios', 'Casey Silver Productions']",2003,Gigli,Martin Brest
6062,0,[],2002,And Now Ladies & Gentlemen,Claude Lelouch
6063,0,[],2003,I'll Be There,Craig Ferguson
6064,0,"['Film Council', 'Scottish Screen', 'Bórd Scannán na hÉireann']",2002,The Magdalene Sisters,Peter Mullan
6065,0,[],2002,The Secret Lives of Dentists,Alan Rudolph
6066,26000000,"['Walt Disney Pictures', 'Gunn Films', 'Casual Friday Productions']",2003,Freaky Friday,Mark Waters
6067,0,"['Procirep', 'Canal+']",2002,Seaside,Julie Lopes-Curval
6068,80000000,"['Original Film', 'Columbia Pictures Corporation', 'Camelot Pictures', 'Chris Lee Productions', 'Illusion Entertainment']",2003,S.W.A.T.,Clark Johnson
6069,0,"['Fox Searchlight Pictures', 'Merchant Ivory Productions']",2003,The Divorce,James Ivory
6070,0,"['GAGA', 'Oz Productions Ltd.']",2001,The Princess Blade,Shinsuke Sato
6071,0,['Gotham Group'],2003,Step Into Liquid,Dana Brown
6072,0,"['Cino del Duca', 'Arco Film']",1961,Accattone,Pier Paolo Pasolini
6073,0,['Brookwood Entertainment'],1994,The Making of '...and God Spoke',Arthur Borman
6074,0,['Palisades Partners'],1988,Brain Damage,Frank Henenlotter
6075,0,"['Universal Pictures', 'Kanin Productions']",1947,A Double Life,George Cukor
6076,0,['Vanguard Films'],1966,The Hawks and the Sparrows,Pier Paolo Pasolini
6077,0,[],1975,The Man in the Glass Booth,Arthur Hiller
6078,0,[],2002,Purpose,Alan Ari Lazar
6079,0,['Republic Pictures'],1949,The Red Pony,Lewis Milestone
6080,0,['River One Films'],1995,Sex & the Other Man,Karl Slovin
6081,0,"['Arco Film', 'Lux Compagnie Cinématographique de France']",1964,The Gospel According to St. Matthew,Pier Paolo Pasolini
6082,0,"['Rizzoli Film', 'Amato Film', 'Produzione Films Vittorio De Sica']",1952,Umberto D.,Vittorio De Sica
6083,0,['AVCO Embassy Pictures'],1973,The Day of the Dolphin,Mike Nichols
6084,0,['TriStar Pictures'],1990,I Love You to Death,Lawrence Kasdan
6085,30000000,"['New Line Cinema', 'Cecchi Gori Group Tiger Cinematografica', 'Avery Pix', 'Sean S. Cunningham Films', 'Crystal Lake Entertainment', 'WTC Productions', 'Yannix Technology Corporation']",2003,Freddy vs. Jason,Ronny Yu
6086,0,"['Pandora Cinema', 'Gerber Pictures', '900 Films', 'Gaylord Films', 'Asphalt Productions']",2003,Grind,Casey La Scala
6087,22000000,"['Tig Productions', 'Touchstone Pictures', 'Beacon Pictures', 'Cobalt Media Group']",2003,Open Range,Kevin Costner
6088,0,"['Star Overseas', 'Universe Entertainment']",2001,Shaolin Soccer,Stephen Chow
6089,20000000,"['GreeneStreet Films', 'Metro-Goldwyn-Mayer (MGM)']",2003,Uptown Girls,Boaz Yakin
6090,0,['Paul Hough Entertainment'],2002,The Backyard,Paul Hough
6091,0,[],2002,Carnage,Delphine Gleize
6092,0,[],2003,Passionada,Dan Ireland
6093,28000000,"['Splendid Pictures', 'Maverick Films', 'Metro-Goldwyn-Mayer (MGM)', 'Dylan Sellers Productions', 'Madacy Entertainment']",2003,Agent Cody Banks,Harald Zwart
6094,0,['Hollywood Pictures'],1994,Camp Nowhere,Jonathan Prince
6095,0,['Touchstone Pictures'],1993,The Cemetery Club,Bill Duke
6096,1200000,"['Initial Entertainment Group (IEG)', 'Teagarden Pictures Inc.']",1997,Changing Habits,Lynn Roth
6097,0,"['United Artists', 'HOT DOG PARTNERSHIP PRODUCTIONS']",1984,Hot Dog... The Movie,Peter Markle
6098,658000,"['Bryan Foy Productions', 'Warner Bros.']",1953,House of Wax,André De Toth
6099,0,['Twentieth Century Fox Film Corporation'],1958,The Inn of the Sixth Happiness,Mark Robson
6100,6000000,"['New Line Cinema', 'Roven-Cavallo Entertainment']",1993,Man's Best Friend,John Lafia
6101,4000000,"['Canadian Film Development Corporation (CFDC)', 'Warner Bros.', 'Famous Players Limited']",1983,Of Unknown Origin,George P. Cosmatos
6102,0,"['Les Films Ariane', 'Kenneth Madsen Filmproduktion A/S', 'Woodline Films Ltd.']",1994,Royal Deceit,Gabriel Axel
6103,0,[],1988,Rowing with the Wind,Gonzalo Suárez
6104,0,"['Virgin', 'Longfellow Pictures', 'Initial Film and Television']",1989,The Rachel Papers,Damian Harris
6105,0,"['Monument Pictures', 'Embassy Films']",1985,The Sure Thing,Rob Reiner
6106,0,['Winters Hollywood Entertainment Holdings Corporation'],1986,Thrashin',David Winters
6107,350000,"['Atlantic Entertainment Group', 'Valley 9000']",1983,Valley Girl,Martha Coolidge
6108,4000000,['Warner Bros.'],1967,Wait Until Dark,Terence Young
6109,0,['Caledonia Pictures'],1993,Where the Rivers Flow North,Jay Craven
6110,0,"['France 2 Cinéma', 'Les Films Alain Sarde', 'Bavaria Film', 'Zweites Deutsches Fernsehen (ZDF)', 'Canal+', 'Arte France Cinéma', 'MK2 Productions', 'Filmex', 'Romanian Culture Ministry']",2000,Code Unknown,Michael Haneke
6111,8000000,"['Original Pictures', 'Warner Bros.']",1991,Showdown in Little Tokyo,Mark L. Lester
6112,0,['Shôchiku Eiga'],1953,Tokyo Story,Yasujirô Ozu
6113,0,"['Les Films du Losange', 'Ministère de la Culture et de la Communication', ""Ministères de la Culture de l'industrie et des P.T.T."", 'P.T.T.']",1986,The Green Ray,Éric Rohmer
6114,777000,"['American Zoetrope', 'Warner Bros.']",1971,THX 1138,George Lucas
6115,5000000,['Red Lion'],1967,Valley of the Dolls,Mark Robson
6116,200000,['FallsApart Productions'],2002,The Business of Fancydancing,Sherman Alexie
6117,0,"['CJ Entertainment', 'Mirae Asset Capital', 'Taehung Pictures', 'Saehan Industries']",2000,Chunhyang,Im Kwon-taek
6118,0,['Knightsbridge Films'],1960,Tunes of Glory,Ronald Neame
6119,0,['Ealing Studios'],1949,Kind Hearts and Coronets,Robert Hamer
6120,0,['IFC Productions'],2002,Ash Wednesday,Edward Burns
6121,0,"['Universal Pictures', 'Malpaso Productions']",1972,Joe Kidd,John Sturges
6122,6000000,"['Paramount Pictures', 'Associated Capital', 'Capital Equipment Leasing']",1983,The Keep,Michael Mann
6123,0,['Toho Company'],1957,The Mysterians,Ishirô Honda
6124,0,"['Alta Vista Productions', 'American International Pictures (AIP)']",1958,Attack of the Puppet People,Bert I. Gordon
6125,210000,"['Warner Bros.', 'Jack Dietz Productions']",1953,"The Beast from 20,000 Fathoms",Eugène Lourié
6126,0,"['Orion Pictures Corporation', 'Geoffrey Productions']",1979,10,Blake Edwards
6127,11000000,"['Universal Pictures', 'No Frills Film Production']",1990,Tremors,Ron Underwood
6128,0,[],2000,Me & Isaac Newton,Michael Apted
6129,0,"['United Artists', 'Mirisch G-E Productions']",1963,The Pink Panther,Blake Edwards
6130,6000000,"['United Artists', 'Amjo Productions']",1976,The Pink Panther Strikes Again,Blake Edwards
6131,10000000,"['Twentieth Century Fox Film Corporation', 'SLM Production Group', 'Silver Pictures']",1985,Commando,Mark L. Lester
6132,0,"['Universal Pictures', 'The Mirisch Corporation']",1979,Dracula,John Badham
6133,800000,['Greenwich Film Productions'],1972,The Discreet Charm of the Bourgeoisie,Luis Buñuel
6134,0,[],1997,Waco: The Rules of Engagement,William Gazecki
6135,0,"['Columbia Pictures Film Production Asia', 'Guangxi Film Studio']",1999,The Road Home,Yimou Zhang
6136,0,['Toho Company'],1952,Ikiru,Akira Kurosawa
6137,0,['Capital Arts Entertainment'],2002,Comic Book Villains,James Robinson
6138,0,"['Australian Broadcasting Corporation', 'Television New Zealand']",1990,An Angel at My Table,Jane Campion
6139,0,[],2001,War Photographer,Christian Frei
6140,0,"['Ellepi Films', 'Televisión Española (TVE)', 'Iberoamericana Films Internacional']",1990,"Oh, Carmela!",Carlos Saura
6141,0,[],2002,War and Peace,Anand Patwardhan
6142,0,"['TPS Cinéma', 'Canal+', 'Union Générale Cinématographique (UGC)', 'Centre National de la Cinématographie (CNC)', 'Sofica Sofinergie 5', 'Ciné B', 'Vértigo Films']",2001,Far,André Téchiné
6143,0,['Spanish Fork Motion Picture'],1992,Incident at Oglala,Michael Apted
6144,0,"['RTV Slovenija', 'Kinetikon Pictures']",1996,Prerokbe Ognja,Michael Benson
6145,0,"['Bioskop Film', 'Cinecom Entertainment Group', 'Cinetudes Films']",1990,The Handmaid's Tale,Volker Schlöndorff
6146,0,['Wonderview Productions'],2001,Revolution OS,J.T.S. Moore
6147,0,[],1999,All the Little Animals,Jeremy Thomas
6148,0,['Cracking the Earth Films'],1998,Earth,Deepa Mehta
6149,0,"['Kaleidoscope Entertainment', 'Trial by Fire Films']",1996,Fire,Deepa Mehta
6150,0,['Alfa Cinematografica'],1971,Death in Venice,Luchino Visconti
6151,20000000,['Paramount Pictures'],2003,Marci X,Richard Benjamin
6152,41000000,"['Living Films', 'Emperor Multimedia Group (EMG)', 'Golden Port Productions Ltd.']",2003,The Medallion,Gordon Chan
6153,14000000,['Dimension Films'],2003,My Boss's Daughter,David Zucker
6154,0,"['Ceská Televize', 'BKP Film', 'Buc-Film']",2001,Autumn Spring,Vladimír Michálek
6155,1200000,"['Ensueño Films', 'Flamenco Films S.A.', 'Tornasol Films', 'Cartel Films', 'DMVB Films', 'Evescreen']",2001,No News from God,Agustín Díaz Yanes
6156,0,"['Alta Films S.A.', 'British Screen Productions', 'British Sky Broadcasting (BSkyB)']",2001,Dust,Milcho Manchevski
6157,0,['HMS Projects'],2004,Stoked: The Rise and Fall of Gator,Helen Stickler
6158,0,[],2002,Venus Boyz,Gabriel Baur
6159,0,[],2002,Suddenly,Diego Lerman
6160,17000000,"['United Artists', 'American Zoetrope', 'Myriad Pictures', 'Jeepers Creepers II']",2003,Jeepers Creepers 2,Victor Salva
6161,0,['Different Tree Same Wood Productions'],2002,Bollywood/Hollywood,Deepa Mehta
6162,0,[],2003,Civil Brand,Neema Barnette
6163,0,"['Hutch Films LLC', 'The Talking Pictures Company LLC']",2003,Nola,Alan Hruska
6164,0,"['Senator Film Produktion', 'Film Council', 'EM Media', 'Big Arty Productions']",2002,Once Upon a Time in the Midlands,Shane Meadows
6165,0,"['Telespan 2000', 'Impala']",2002,The Other Side of the Bed,Emilio Martínez Lázaro
6166,20000,[],2003,Zero Day,Ben Coccio
6167,0,"['Paramount Pictures', 'Happy Madison Productions']",2003,Dickie Roberts: Former Child Star,Sam Weisman
6168,35000000,"['Twentieth Century Fox Film Corporation', 'N1 European Film Produktions GmbH & Co. KG', 'Baumgarten Merims Productions']",2003,The Order,Brian Helgeland
6169,0,['Homeroom LLC'],2002,Home Room,Paul F. Ryan
6170,0,[],2001,Taking Sides,István Szabó
6171,1500000,"['Lions Gate Films', 'Tonic Films', 'Down Home Entertainment', 'Cabin Pictures', 'Black Sky Entertainment', 'Deer Path Films']",2003,Cabin Fever,Eli Roth
6172,62000000,"['Saturn Films', 'Scott Free Productions', 'Rickshaw Productions', 'Warner Bros.', 'LivePlanet', 'ImageMovers', 'HorsePower Entertainment']",2003,Matchstick Men,Ridley Scott
6173,29000000,"['Columbia Pictures Corporation', 'Dimension Films', 'Troublemaker Studios']",2003,Once Upon a Time in Mexico,Robert Rodriguez
6174,0,"['Dummy Productions LLC', 'Quadrant Entertainment']",2002,Dummy,Greg Pritikin
6175,4000000,['American Zoetrope'],2003,Lost in Translation,Sofia Coppola
6176,0,"['Epic Pictures Group', 'Azurelite Pictures']",2010,Luster,Adam Mason
6177,0,"['Bandai Visual Company', 'Madhouse', 'WoWow', 'Kadokawa Shoten Publishing Co.', 'Genco', 'Chiyoko Commitee']",2001,Millennium Actress,Satoshi Kon
6178,0,"['Columbia Pictures Film Production Asia', 'Eastern Productions']",2002,So Close,Corey Yuen
6179,0,[],1991,Children of the Night,Tony Randel
6180,2000000,['Copa del Oro'],1974,Daisy Miller,Peter Bogdanovich
6181,0,[],2000,Enlightenment Guaranteed,Doris Dörrie
6182,0,['Universal Pictures'],1985,Gotcha!,Jeff Kanew
6183,0,['Universal Pictures'],1984,Hard to Hold,Larry Peerce
6184,0,"['Universal Pictures', 'Dino de Laurentiis Communications', 'EvansGideon', ""Beginner's Luck""]",1992,Kuffs,Bruce A. Evans
6185,0,['Golden Harvest Company'],1991,Once Upon a Time in China,Hark Tsui
6186,0,['Golden Harvest Company'],1992,Once Upon a Time in China II,Hark Tsui
6187,0,"['Golden Harvest Company', 'Film Workshop']",1993,Once Upon a Time in China III,Hark Tsui
6188,0,"['Paramount Pictures', 'Saticoy Productions', 'The Directors Company']",1973,Paper Moon,Peter Bogdanovich
6189,18000000,"['Universal Pictures', 'Robert Stigwood Organization (RSO)', 'NF Geria II Filmgesellschaft m.b.H.']",1978,Sgt. Pepper's Lonely Hearts Club Band,Michael Schultz
6190,0,['SVT Drama'],2001,A Song for Martin,Bille August
6191,0,"['Paramount Pictures', 'Saticoy Productions']",1968,Targets,Peter Bogdanovich
6192,0,['Universal International Pictures (UI)'],1963,The Ugly American,George Englund
6193,0,['Merchant Ivory Productions'],1984,The Bostonians,James Ivory
6194,12000000,"['United Artists', 'EMI Films Ltd.']",1978,Convoy,Sam Peckinpah
6195,3500000,"['Dead Films', 'Laurel Entertainment', 'Toei']",1985,Day of the Dead,George A. Romero
6196,24000000,"['Twentieth Century Fox Film Corporation', 'Chenault Productions']",1969,"Hello, Dolly!",Gene Kelly
6197,0,[],2001,I'm Going Home,Manoel de Oliveira
6198,40000000,"['Regency Enterprises', 'Alcor Films', 'Canal+', 'Warner Bros.', 'Cornelius Productions']",1992,Memoirs of an Invisible Man,John Carpenter
6199,9250000,['Twentieth Century Fox Film Corporation'],1979,The Rose,Mark Rydell
6200,0,"['Columbia Pictures Corporation', 'Filmways Pictures', 'Genesis Productions Ltd.']",1971,See No Evil,Richard Fleischer
6201,0,[],2002,Super Sucker,Jeff Daniels
6202,0,"['Produzioni De Sica', 'Produzione Films Vittorio De Sica', 'Selznick Releasing Organization']",1953,Terminal Station,Vittorio De Sica
6203,0,['Fred F. Finklehoffe Productions'],1950,At War with the Army,Hal Walker
6204,0,['TriStar Pictures'],1991,Bingo,Matthew Robbins
6205,0,['New World Pictures'],1976,God Told Me To,Larry Cohen
6206,0,[],1989,"I, Madman",Tibor Takács
6207,0,['Alexander Korda Films'],1942,The Jungle Book,Zoltan Korda
6208,3200000,['Night Light Films'],1985,Once Bitten,Howard Storm
6209,0,"['American International Pictures (AIP)', 'Squirm Company']",1976,Squirm,Jeff Lieberman
6210,0,['Formosa Productions'],1960,The Adventures of Huckleberry Finn,Michael Curtiz
6211,1355000,"['Canadian Film Development Corporation (CFDC)', 'Victor Solnicki Productions', 'Elgin International Films']",1979,The Brood,David Cronenberg
6212,0,"['DreamWorks SKG', 'Granada Film Productions', 'Perdido Prod.', 'Canal+']",2003,Anything Else,Woody Allen
6213,0,['Touchstone Pictures'],2003,Cold Creek Manor,Mike Figgis
